2015-10-16 10:02:08, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >g4KiPTdL9I55a6zKhG/x29etMzcS4JzCUPsN3svRbzIQ+31y3YOpKTb0dY9Rn/MUfDevWgQkNb7P/yYIQ2kZ11nSGwxa5kRrXFwMiYEtVHLUF3uogYdVDu43Z8KV/0PYMa6EY8KnQGnXiJPtrF3vkdcI+VIrs1s9qhPahsWjkiI= 
2015-10-16 10:02:08, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-16 10:03:58, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-16 10:03:58, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&bizType=000000&certId=40220995861346480087409489142384722381&channelType=07&encoding=utf-8&merId=777290058119902&orderId=954681622541&signMethod=01&txnSubType=00&txnTime=20151015171607&txnType=00&version=5.0.0 
2015-10-16 10:03:58, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >33e6424c9970e60048643b450f0cba1c44fdfdc7 
2015-10-16 10:03:58, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >g4KiPTdL9I55a6zKhG/x29etMzcS4JzCUPsN3svRbzIQ+31y3YOpKTb0dY9Rn/MUfDevWgQkNb7P/yYIQ2kZ11nSGwxa5kRrXFwMiYEtVHLUF3uogYdVDu43Z8KV/0PYMa6EY8KnQGnXiJPtrF3vkdcI+VIrs1s9qhPahsWjkiI= 
2015-10-16 10:03:58, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-16 10:04:04, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-16 10:04:04, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&bizType=000000&certId=40220995861346480087409489142384722381&channelType=07&encoding=utf-8&merId=777290058119902&orderId=954681622541&signMethod=01&txnSubType=00&txnTime=20151015171607&txnType=00&version=5.0.0 
2015-10-16 10:04:04, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >33e6424c9970e60048643b450f0cba1c44fdfdc7 
